ALEAT,ID,OBJ,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31_P,VT,V1_P,V2_P,V3_P,V4_P,V5_P,V6_P,V7_P,V8_P,V9_P,V10_P,V11_P,V12_P,V13_P,V14_P,V15_P,V16_P,V17_P,V18_P,V19_P,V20_P,V21_P,V22_P,V23_P,V24_P,V25_P,V26_P,V27_P,V28_P,V29_P,V30_P,V31_P
0.000236361,263823278,NO,0,0,0,49.605566,2.178372,0.36544,0,0,2.590377,0,1.006567,14.834507,0,0,0,0.260675,10.237784,51.716893,28.850342,23.620768,13.81505,0,461.607196,137.798709,0.073069,0,0,0,335.88009,0,1.715218,1136.156623,0,0,0,0.043661,0.001917,0.000322,0,0,0.00228,0,0.000886,0.013057,0,0,0,0.000229,0.009011,0.045519,0.025393,0.02079,0.012159,0,0.406288,0.121285,0.000064,0,0,0,0.295628,0,0.00151
0.000245872,268160518,NO,0,0,0,0,1.131608,0,0,0,0,0,0.254426,1.183847,0,0,0,0.612486,0,4.097848,11.315632,5.799725,4.662544,0.360286,49.283816,29.621896,0,0,0,0,260.014163,0,0.471239,368.809516,0,0,0,0,0.003068,0,0,0,0,0,0.00069,0.00321,0,0,0,0.001661,0,0.011111,0.030682,0.015726,0.012642,0.000977,0.133629,0.080318,0,0,0,0,0.705009,0,0.001278
0.000248586,256082127,NO,0,22.151634,0,26.059851,2.454099,4.53722,0,0,0.134559,0,38.500836,43.271769,0.01024,0,0,1.448784,0,460.482536,5.021162,0.392468,0.289053,0,5.106429,193.66738,0,0,0,0,146.590406,0,0,950.118426,0,0.023315,0,0.027428,0.002583,0.004775,0,0,0.000142,0,0.040522,0.045544,0.000011,0,0,0.001525,0,0.484658,0.005285,0.000413,0.000304,0,0.005375,0.203835,0,0,0,0,0.154286,0,0
0.000273231,333945030,NO,0,0,0,0,0.240337,0,0,0,74.917765,0,0.14212,2.05236,0,0,0,0.090919,0,20.389658,29.650815,3.865936,1.613907,0,1.9468,55.224258,0,0,0,0,280.683792,0,0.022509,470.841176,0,0,0,0,0.00051,0,0,0,0.159115,0,0.000302,0.004359,0,0,0,0.000193,0,0.043305,0.062974,0.008211,0.003428,0,0.004135,0.117289,0,0,0,0,0.596133,0,0.000048
0.000279722,277840011,NO,0,0.002928,0.011477,12.643765,32.937598,0.244339,0,0,4.520434,0,118.769183,12.054789,0.388748,0,0.798557,1.889797,0,62.364323,126.747596,9.762738,35.495636,0.102892,37.773734,44.280142,0,0,0,0,1453.593501,0,25.893894,1980.276071,0,0.000001,0.000006,0.006385,0.016633,0.000123,0,0,0.002283,0,0.059976,0.006087,0.000196,0,0.000403,0.000954,0,0.031493,0.064005,0.00493,0.017925,0.000052,0.019075,0.022361,0,0,0,0,0.734036,0,0.013076
0.000279809,265363125,NO,0,0.077076,0,10.609942,47.793598,0.276728,0,0,101.236111,0,0.970212,12.650159,6.638857,0,0,0.435019,13.120896,38.819024,60.436827,18.269368,17.307347,0.149935,27.851111,195.609795,0,0,0,0,467.971436,0,128.006855,1148.230296,0,0.000067,0,0.00924,0.041624,0.000241,0,0,0.088167,0,0.000845,0.011017,0.005782,0,0,0.000379,0.011427,0.033808,0.052635,0.015911,0.015073,0.000131,0.024256,0.170358,0,0,0,0,0.407559,0,0.111482
0.000280442,277601426,SI,0,8.333352,0.011885,41.997566,276.195221,0.941467,0,0,59.492238,0,7.998796,37.338173,0,0,0,2.439729,1.270201,169.884307,207.121437,94.428495,80.437935,0.230835,723.399077,664.049879,0.131707,0,0,0.039378,4912.781645,0,1221.625191,8510.148514,0,0.000979,0.000001,0.004935,0.032455,0.000111,0,0,0.006991,0,0.00094,0.004387,0,0,0,0.000287,0.000149,0.019963,0.024338,0.011096,0.009452,0.000027,0.085004,0.07803,0.000015,0,0,0.000005,0.577285,0,0.143549
0.000280685,264173089,NO,0,0,0,1.483892,3.007691,0,0,0,10.560568,0,0.23229,84.575367,0.136328,0,0,0.281422,0,120.206158,13.687956,7.636232,12.269353,0,15.383764,57.787986,0,0,0,0,502.941081,0,1.864279,832.054367,0,0,0,0.001783,0.003615,0,0,0,0.012692,0,0.000279,0.101646,0.000164,0,0,0.000338,0,0.144469,0.016451,0.009178,0.014746,0,0.018489,0.069452,0,0,0,0,0.604457,0,0.002241
0.000281843,266753348,NO,0,0.654567,0,36.686973,27.111326,2.996931,0,0,69.082815,0,70.588457,18.015782,0,0,46.250782,7.74631,1.720919,184.139192,94.819193,49.86205,28.965389,0,5175.639043,1281.564382,0.118226,12.275535,0,0,4615.437523,0.091153,31.233588,11755.00014,0,0.000056,0,0.003121,0.002306,0.000255,0,0,0.005877,0,0.006005,0.001533,0,0,0.003935,0.000659,0.000146,0.015665,0.008066,0.004242,0.002464,0,0.440293,0.109023,0.00001,0.001044,0,0,0.392636,0.000008,0.002657
0.000289417,277320787,NO,0,3.07478,0,0.652747,151.438093,4.029224,0,0,94.942376,0,3.854568,25.627863,0.013316,0,0,10.783708,1.627735,191.455846,171.427162,47.94356,186.636691,0.309913,136.671174,4291.215993,0,0,0,0,2847.713547,0,33.210099,8202.628395,0,0.000375,0,0.00008,0.018462,0.000491,0,0,0.011575,0,0.00047,0.003124,0.000002,0,0,0.001315,0.000198,0.023341,0.020899,0.005845,0.022753,0.000038,0.016662,0.523151,0,0,0,0,0.347171,0,0.004049
